name,placeId,taking_students,notes
Altruism Connection - Integrative Counselling & Services,ChIJeZ5fhUktE1MRi58ww3g_hBw,,
Aly Bird Therapy,ChIJS5BsYMM1K4gRyytMOaYLIPQ,,
Alycol Psychological Health Services,ChIJNS1M1POOn1MR4ZMRvpOAgRk,,
Alysha Gurney Counselling Services,ChIJs0V5toItE1MRNodFkZqCP04,,
Amanda Baird,ChIJ__-_BPgjoFMRbZ-6UT5TF_w,,
Amanda Blaire Wellness,ChIJddYEPnU_cVMRT_NRAS94OV8,,
Amanda Neves Therapy,ChIJs1xRcScvK4gRgfXF3JYh-h0,,
"Amanda Rocheleau, MSW, RSW Counselling & Consulting",ChIJqf11LSACzkwRrdKQZL2BZu8,,
Amanda Tobe & Associates,ChIJWbONWQ-rwCMRQiGZJQblkJs,,
Amber Chenard Psychological Services,ChIJ6XE_-uyRkFMRPcUS00T99N0,,
Amber Sperling Social Work and Psychotherapy Services,ChIJp58plkupKogRHIwRd2Cn1uw,,
Amethyst Wellness Group,ChIJiYTz9AYnP0cRtCygbm0LNYM,,
Amity Detroit Counseling,ChIJbXzXQM7VJIgR-jAdu079qFY,,
Amity’s Body & Mind Therapeutic Massage,ChIJHY99E7mzCVMRPlWB5fsP_1I,,
Amna Khan Psychotherapy and Counselling Services,ChIJR38019FDK4gRfONe4uOse94,,
"Amreeta Kaur, MSW, RSW Therapy",ChIJ2w9K2WIrK4gRFM7CjLYSv20,,
Amy May Counselling Services,ChIJRUYgpc6jKogRqh1lIZvmE20,,
Amy Moroz Psychological Services,ChIJ6UMwcaaaK4gRQ43Ake96-pA,,
Amytra Therapy,ChIJh2g-oY3RZW4RSKeI3kp3kUg,,
Ana Montero Psychotherapy & Trauma Counselling,ChIJs-V9z4c0K4gRWHZ0oYh0CRI,,
Ana Schlosser Counselling - Medicine Hat,ChIJOUXcBrYtE1MR6cUVTp2QehY,,
Ancestral Memory Therapy,ChIJbVWBRM41K4gRbzuCb1yLgZE,,
Anchor & Bloom Psychotherapy,ChIJozvh2VxrK4gRClyq0RO1t-8,,
Anchor & Evolve Counselling and Psychotherapy,ChIJB8cEm_mbK4gRGv_fwA8gSSc,,
"Anchor Child Therapy - Child Therapist Specialists in Hamilton, ON for children ages 2 to 10 years",ChIJ-VrkA9uFLIgROgtqkiiLPuc,,
Anchored Therapy Centre - Individual and Couples Therapy,ChIJoxkHU3FrK4gR_tOFgIsefA8,,
Anchored Therapy Centre - Individual and Couples Therapy,ChIJ4-241anXTw8RldV2oBcPHgQ,,
Anchoridge Counselling Services,ChIJOw-T1qLxLogReEfnWwEGl2U,,
Anchoridge Counselling Services,ChIJYQD9tGn0K4gREkEymZfg50k,,
Anchoridge Counselling Services,ChIJp9Zk3QVnK4gRfINCzOJg1bY,,
ANDREA BEVAN SOCIAL WORK SERVICES,ChIJI4ecTehR04kRlBf66mVNch4,,
Andrea Conway Counselling,ChIJt7dqYMsjWU0RkZNWCG6525M,,
"Andrea Kauppinen, MSc, RP Registered Psychotherapist, Couple and Family Therapist",ChIJTQjY0tT1K4gRoqvqAH31Bs4,,
Andrea Zahra Therapy and Counselling Services,ChIJ-1oXyt8NzQgRMq8OiQPe4JI,,
Anew Counselling & Therapy,ChIJn7ek8-2jKogRzshluRgmIzQ,,
Angel's Healing Therapeutic Massage,ChIJjZ-ASadO0SIR7gf3rv206xA,,
Angela Irvine Consulting (Registered Provisional Psychologist),ChIJRxnRx1AsE1MRo9tME1kMOns,,
Angela Jans Counselling Services,ChIJ-5tNAtKHblMRDUdwzk6G9-o,,
"Angela MacKinnon, MSW, BSW, RSW Psychotherapy Services",ChIJ_yShp6krO4gRO9IAbI1gsW8,,
Angelis justus,ChIJrSWUdEIPsFMReJr-PLe_Vi8,,
Anger Management and Family Counselling Centre- Brampton,ChIJqVjZ85MVK4gRn73IWiveros,,
Anger Management Incorporated (Alberta ARMI),ChIJX-cLlFtfcVMRpiCP6igdbH8,,
Angie Ratcliff Counselling,ChIJB10SWuJvcVMRX1bz96MR2w8,,
Anita Pal,ChIJ6wBfoXmjKogRA6SCm95MJEM,,
Anita Pearce Counselling,ChIJVVXFMi2s0kwRKVdWy9nsMwo,,
Anju astrology & psychic medium,ChIJAylOutsXoFMRHADt67trE-I,,
Anna massage therapist,ChIJmzsLWoSRkFMRQpN0UpS4SRw,,
Annie’s Therapeutic Massage,ChIJIzBhVw37n1MR3jTZBXIELdA,,
Another Path Psychotherapy - Centretown Therapy,ChIJCQb-S5UFzkwR_62get2x0Q4,,
Another Perspective Family Centres,ChIJM1aZr8JQ04kRYo-8uXt6mC8,,
"Anthony Lavender, RP(Q) – Psychotherapist at Zenith Counselling",ChIJi80VIvr1K4gRjpR9MnqN3PM,,
Anxiety & Trauma Clinic of Ontario,ChIJpXe2z6XzLogRmwTAHPcxixk,,
Anxiety Clinic of Central Alberta,ChIJB_sNvslVdFMRadEW9JNemaQ,,
Anya Malda - Soulful Balance Counselling,ChIJ___v6SSeLIgRc92T_Nb_mWs,,
Apple Creek Sports Medicine Centre,ChIJSZvt4_zU1IkRoRC8SwE_G7I,,
APPLE WELLNESS CENTER,ChIJcXxtW25fcVMRIXR_qhCD-hY,,
Approach Psychology,ChIJ0RXidPMjoFMRwfVyaI3S79c,,
Apsi the Ferrance Group,ChIJY50h_egIsFMR8qP24LCY2LQ,,
Aquility,ChIJY16up3JGK4gR2jehRNYzYRM,,
ARC Psychology,ChIJO8SaZA4tK4gR4vFOHdchCMs,,
ARCH Psychological Services Inc.,ChIJcT10_7SWkFMRTq5iVnnR-Nc,,
Archways Centre for CBT,ChIJbyK3ja_xLogRdNBPO1OLqlM,,
"Arising Bliss Individual, Couple, Family and Refugee Newcomer Psychotherapy and Counselling Mississauga",ChIJDwzrrRJHK4gRQ0FIh2HCLrs,,
"Arising Bliss Individual, Couple, Family and Refugee Newcomer Psychotherapy and Counselling Services Toronto",ChIJUcZHj9M7K4gRo_a4d3WJ5ho,,
"Arising Bliss Individual, Couple, Family and Refugee Newcomer Psychotherapy and Counselling Services Toronto",ChIJ0TZNP3vR1IkROsnQg7QLbqs,,
"Arising Bliss Psychotherapy and Counselling - English, Hindi, Punjabi, Urdu & Malayalam Counselling",ChIJz04WTUQXK4gRsiRG6OYIqMA,,
Armstrong Healthcare and Wellness,ChIJ08_lmMat0kwRdDNUBQymXh8,,
Armstrong Scott Marriage & Family Therapist,ChIJiYF3aaMD1YkRtW1To0WjXpE,,
Arokaya Healing Wellness Centre (Arokaya Thai Wellness),ChIJpapH71APsFMRWKFVkoedIwo,,
Art as Therapy,ChIJ_Qeas_MVK4gR2nPGCY9Fe3Y,,
Art of Caring,ChIJuaCUry27ClMRxh3JjoSYpiI,,
